Awards,Math Score
0,43
0,38
0,41
0,33
0,39
0,43
0,35
0,41
0,36
0,38
0,60
0,30
0,32
0,30
0,37
0,44
0,45
0,44
0,37
0,43
0,34
0,40
0,34
0,38
0,32
0,42
1,64
1,60
0,39
1,62
0,35
0,37
1,50
0,40
1,65
1,68
0,45
0,35
0,36
0,37
0,31
0,31
0,30
0,42
0,42
1,62
0,38
0,39
0,47
1,65
0,33
0,34
0,31
3,89
0,30
0,44
1,70
1,68
0,38
0,44
0,30
1,70
0,39
1,66
0,30
1,61
0,37
0,33
1,64
0,30
2,83
0,43
0,35
0,30
1,59
0,47
0,35
0,39
0,32
0,31
0,38
0,33
1,62
0,39
0,38
0,30
1,66
0,41
0,42
0,31
0,34
0,48
0,37
0,30
0,40
0,41
1,69
0,42
1,63
0,40
0,30
0,38
0,34
0,30
0,32
0,35
0,38
1,70
0,33
0,36
1,63
1,66
2,86
0,34
1,63
0,40
1,72
0,40
0,47
2,86
1,67
3,88
1,64
0,39
0,37
1,63
1,72
0,30
0,38
1,67
0,31
1,62
0,44
0,42
0,36
0,30
3,89
1,71
0,35
0,33
0,42
3,80
0,40
0,30
1,67
1,59
0,43
0,40
0,41
3,88
0,30
0,45
0,30
2,82
0,47
1,70
5,90
0,33
0,30
1,63
0,36
0,34
2,87
4,90
1,66
0,35
1,63
1,70
3,90
1,61
1,67
3,89
2,86
0,39
0,30
1,67
1,68
3,88
2,83
0,33
6,90
4,90
1,70
0,39
2,87
2,88
1,59
2,86
1,65
1,61
0,46
1,62
2,81
5,91
1,70
2,85
2,86
1,66
0,41
3,89
